cartodb_id,the_geom,zm,canon,uid,region,sector,grid,link,name_web,name_alt,name,point_y,point_x,y,x
1402,0101000020E61000008BCE59B8E31C4840FC3B77FF6E0A1E40,4,0,1402,Inner Rim,Hapes Cluster,O9,,,,,838.434772734,5368.46030777,838.43,5368.46
592,0101000020E610000023B4E4EA87214D408CD615F89CDE4640,4,0,592,Outer Rim,Gordian Reach,P6,,,,,5738.64835099,6485.69176151,5738.65,6485.69
1398,0101000020E610000069B85427043D4840EAC004160F8C1C40,4,0,1398,Inner Rim,Hapes Cluster,O9,,,,,796.524688913,5396.40036365,796.52,5396.4
725,0101000020E61000008254641581D154404846C88FE38A4C40,1,0,725,Outer Rim,Sith Worlds,R4,http://starwars.wikia.com/wiki/Ziost,Ziost,,Ziost,7777.52608021,9269.96402126,7777.53,9269.96
1400,0101000020E6100000552AB6AAE333484000376C68877C1D40,4,0,1400,Inner Rim,Hapes Cluster,O9,,,,,822.877241619,5388.46284777,822.88,5388.46
1742,0101000020E610000029BDA5A609512DC0634021F0B7AE4440,1,0,1742,Mid Rim,Barsa,J6,http://starwars.wikia.com/wiki/Uba,Uba,,Uba,5066.32733981,-1631.75190439,5066.33,-1631.75
39,0101000020E610000048772A2542762CC03BD14709398043C0,2,0,38,Core,,J13,http://starwars.wikia.com/wiki/Dahrtag,Dahrtag,,Dahrtag,-4721.92090285,-1584.18471212,-4721.92,-1584.18
374,0101000020E6100000490C775F5B552CC0D9992E4471B652C0,4,0,373,Outer Rim,Javin,J18,,,,,-12868.322859,-1577.03124899,-12868.32,-1577.03
390,0101000020E6100000DBFCD857693124C02559FAE4E64D52C0,4,0,389,Outer Rim,Javin,K18,,,,,-12206.7000427,-1123.93799905,-12206.7,-1123.94
500,0101000020E6100000B87D7FC0BC1F55407D15CF491F4C51C0,2,0,500,Outer Rim,Arkanis,R17,http://starwars.wikia.com/wiki/Gorno,Gorno,,Gorno,-10809.8776029,9406.04006168,-10809.88,9406.04
977,0101000020E61000008363AEE696B75740A93B11CB94C54EC0,1,0,977,Outer Rim,Abrion,S15,http://starwars.wikia.com/wiki/Roon,Roon,,Roon,-8751.72507393,10560.7226048,-8751.73,10560.72
1477,0101000020E6100000FC43C09AACEB47401B7EF454F2342040,4,0,1477,Inner Rim,Hapes Cluster,O9,,,,,905.090062294,5325.65857633,905.09,5325.66
1741,0101000020E6100000BAF9CF6C7E2C36C0D840CEA600893C40,2,0,1741,Mid Rim,Jalor,J7,http://starwars.wikia.com/wiki/Vaced,Vaced,,Vaced,3316.61509316,-2468.3765806,3316.62,-2468.38
1,0101000020E61000005339539C020718C0A0320A4BA4C327C0,1,0,0,Deep Core,,K10,http://starwars.wikia.com/wiki/Prakith,Prakith,,Prakith,-1332.29501359,-668.679026452,-1332.3,-668.68
2,0101000020E61000008F44D42597A2EFBF6FF2BFAC575A1FC0,2,0,1,Deep Core,,K10,http://starwars.wikia.com/wiki/Keeara_Major,Keeara_Major,,Keeara Major,-875.281650325,-110.050166236,-875.28,-110.05
3,0101000020E61000006D3BB8D698F5F5BF859ACA2873E41BC0,2,0,2,Deep Core,,K10,http://starwars.wikia.com/wiki/Symbia,Symbia,,Symbia,-778.164819317,-152.78157188,-778.16,-152.78
4,0101000020E6100000AFF7992E835ED0BFB759AEE53A5518C0,2,0,3,Deep Core,,K10,http://starwars.wikia.com/wiki/Kuar,Kuar,,Kuar,-678.458206148,-28.4720281892,-678.46,-28.47
5,0101000020E610000035F88CA7F0B524C00BDD8E4FAC432DC0,2,0,4,Deep Core,,K11,http://starwars.wikia.com/wiki/Odik,Odik,,Odik,-1646.84563846,-1152.75247523,-1646.85,-1152.75
6,0101000020E6100000EC370CFD42E919C0747FAFD3EED037C0,0,0,5,Deep Core,,K11,http://starwars.wikia.com/wiki/Byss,Byss,,Byss,-2731.02043122,-721.104796694,-2731.02,-721.1
73,0101000020E610000052B929F573F110C00F590670FAAC42C0,2,0,72,Core,,K12,http://starwars.wikia.com/wiki/Thebeon,Thebeon,,Thebeon,-4488.20024367,-471.52642071,-4488.2,-471.53
74,0101000020E6100000B8D6F5E556BADDBF9820FB4FBB7642C0,2,0,73,Core,,K12,http://starwars.wikia.com/wiki/Gerrard,Gerrard,,Gerrard,-4429.01875134,-51.7077094689,-4429.02,-51.71
1393,0101000020E6100000230AF7ECFEEA4740794B45584F0A1940,4,0,1393,Inner Rim,Hapes Cluster,O9,,,,,698.258242381,5325.06855432,698.26,5325.07
7,0101000020E6100000693D33161B69FDBFAE1E6A4AD2493AC0,1,1,6,Deep Core,,K12,http://starwars.wikia.com/wiki/Kalist_VI,Kalist,,Kalist,-3034.84024576,-204.623101714,-3034.84,-204.62
